set WORKER :=     1 2 3;
set TASK   :=     1_1 1_2 1_3;

param cost :=
                1   1_1   5
                1   1_2   6
                1   1_3   7
                2   1_1   8
                2   1_2   2
                2   1_3   4
                3   1_1   3
                3   1_2   9
                3   1_3   9 ;

param nw :=
                1_1   1
                1_2   1
                1_3   1 ;

param nt :=
                1   1
                2   1
                3   1 ;

param av :=
                1   1_1 1
                1   1_2 1
                1   1_3 1
                2   1_1 1
                2   1_2 1
                2   1_3 1
                3   1_1 1
                3   1_2 1
                3   1_3 1 ;
